Markdown,Unicode,
:smiley_cat:,U+1F63D,
:kissing_cat:,U+1F63F,
:crying_cat_face:,U+1F479,
:japanese_ogre:,U+1F649,
:hear_no_evil:,U+1F480,
:skull:,U+1F48B,
:kiss:,U+1F440,
:eyes:,U+1F48C,
:love_letter:,U+1F4AC,
:speech_balloon:,#N/A,
:finnadie:,#N/A,
:hurtrealbad:,#N/A,
:rage3:,#N/A,
:trollface:,U+2614,
:umbrella:,U+26C4,
:snowman:,U+1F301,
:foggy:,U+1F436,
:dog:,U+1F430,
:rabbit:,U+1F42F,
:tiger:,U+1F437,
:pig:,U+1F417,
:boar:,U+1F434,
:horse:,U+1F411,
:sheep:,U+1F40D,
:snake:,U+1F425,
:hatched_chick:,U+1F427,
:penguin:,U+1F41D,
:honeybee:,U+1F40C,
:snail:,U+1F41F,
:fish:,U+1F42C,
:dolphin:,U+1F400,
:rat:,U+1F407,
:rabbit2:,U+1F413,
:rooster:,U+1F401,
:mouse2:,U+1F421,
:blowfish:,U+1F406,
:leopard:,U+1F43E,
:paw_prints:,U+1F337,
:tulip:,U+1F33B,
:sunflower:,U+1F343,
:leaves:,U+1F344,
:mushroom:,U+1F332,
:evergreen_tree:,U+1F331,
:seedling:,U+1F41A,
:shell:,U+1F31D,
:full_moon_with_face:,U+1F312,
:waxing_crescent_moon:,U+1F315,
:full_moon:,U+1F318,
:waning_crescent_moon:,U+1F314,
:moon:,U+1F30F,
:earth_asia:,U+26C5,
:partly_sunny:,U+1F49D,
:gift_heart:,U+1F393,
:mortar_board:,U+1F387,
:sparkler:,U+1F383,
:jack_o_lantern:,U+1F384,
:christmas_tree:,U+1F515,
:no_bell:,U+1F38A,
:confetti_ball:,U+1F4BF,
:cd:,U+1F4F7,
:camera:,U+1F4BB,
:computer:,U+260E,
:phone:,U+1F4DF,
:pager:,U+1F4FC,
:vhs:,U+1F507,
:mute:,U+231B,
:hourglass:,U+231A,
:watch:,U+27BF,
:loop:,U+1F513,
:unlock:,U+1F510,
:closed_lock_with_key:,U+1F526,
:flashlight:,U+1F50C,
:electric_plug:,U+1F4E7,
:email:,U+1F6C0,
:bath:,U+1F6BD,
:toilet:,U+1F528,
:hammer:,U+1F4B4,
:yen:,U+1F4B6,
:euro:,U+1F4E7,
:e-mail:,U+2709,
:envelope:,U+1F4EA,
:mailbox_closed:,U+1F6AA,
:door:,U+1F52B,
:gun:,U+1F489,
:syringe:,U+1F4D1,
:bookmark_tabs:,U+1F4C9,
:chart_with_downwards_trend:,U+1F4C6,
:calendar:,U+1F4C1,
:file_folder:,U+1F4CC,
:pushpin:,U+270F,
:pencil2:,U+1F4D5,
:closed_book:,U+1F4D9,
:orange_book:,U+1F4D2,
:ledger:,U+1F4DB,
:name_badge:,U+1F4F0,
:newspaper:,U+26BD,
:soccer:,U+1F3B1,
:8ball:,U+26F3,
:golf:,U+1F3C7,
:horse_racing:,U+1F3C4,
:surfer:,U+2665,
:hearts:,U+1F48E,
:gem:,U+1F3BC,
:musical_score:,U+1F47E,
:space_invader:,U+1F3B4,
:flower_playing_cards:,U+1F004,
:mahjong:,U+1F4DD,
:pencil:,U+1F3A4,
:microphone:,U+1F3B7,
:saxophone:,U+1F461,
:sandal:,U+1F462,
:boot:,U+1F454,
:necktie:,U+1F3BD,
:running_shirt_with_sash:,U+1F459,
:bikini:,U+1F451,
:crown:,U+1F302,
:closed_umbrella:,U+1F45D,
:pouch:,U+1F3A3,
:fishing_pole_and_fish:,U+1F376,
:sake:,U+1F37B,
:beers:,U+1F377,
:wine_glass:,U+1F354,
:hamburger:,U+1F356,
:meat_on_bone:,U+1F364,
:fried_shrimp:,U+1F365,
:fish_cake:,U+1F35A,
:rice:,U+1F362,
:oden:,U+1F35E,
:bread:,U+1F366,
:icecream:,U+1F382,
:birthday:,U+1F36B,
:chocolate_bar:,U+1F36F,
:honey_pot:,U+1F34A,
:tangerine:,U+1F347,
:grapes:,U+1F351,
:peach:,U+1F350,
:pear:,U+1F346,
:eggplant:,U+1F3E1,
:house_with_garden:,U+1F3E3,
:post_office:,U+1F3EA,
:convenience_store:,U+1F492,
:wedding:,U+1F3E4,
:european_post_office:,U+1F3EF,
:japanese_castle:,U+1F3ED,
:factory:,U+1F5FB,
:mount_fuji:,U+1F320,
:stars:,U+1F3A0,
:carousel_horse:,U+26F2,
:fountain:,U+1F6A4,
:speedboat:,U+1F6A3,
:rowboat:,U+2708,
:airplane:,U+1F68A,
:tram:,U+1F6A1,
:aerial_tramway:,U+1F69C,
:tractor:,U+1F697,
:car:,U+1F696,
:oncoming_taxi:,U+1F68D,
:oncoming_bus:,U+1F694,
:oncoming_police_car:,U+1F690,
:minibus:,U+1F689,
:station:,U+1F684,
:bullettrain_side:,U+1F683,
:railway_car:,U+26FD,
:fuelpump:,U+26A0,
:warning:,U+1F3E7,
:atm:,U+1F488,
:barber:,U+1F38C,
:crossed_flags:,U+1F3AA,
:circus_tent:,U+1F6A9,
:triangular_flag_on_post:,U+1F1E8 U+1F1F3,
:cn:,U+1F1EA U+1F1F8,
:es:,U+1F1EC U+1F1E7,
:gb:,U+0032 U+FE0F U+20E3,
:two:,U+0035 U+FE0F U+20E3,
:five:,U+0038 U+FE0F U+20E3,
:eight:,U+1F522,
:1234:,U+1F523,
:symbols:,U+25B6,
:arrow_forward:,U+1F521,
:abcd:,U+2198,
:arrow_lower_right:,U+2196,
:arrow_upper_left:,U+23EB,
:arrow_double_up:,U+2934,
:arrow_heading_up:,U+2194,
:left_right_arrow:,U+1F503,
:arrows_clockwise:,U+23E9,
:fast_forward:,U+1F500,
:twisted_rightwards_arrows:,U+1F195,
:new:,U+1F192,
:cool:,U+1F3A6,
:cinema:,U+1F239,
:u5272:,U+1F22F,
:u6307:,U+1F235,
:u6e80:,U+1F233,
:u7a7a:,U+1F6BB,
:restroom:,U+1F6BC,
:baby_symbol:,U+267F,
:wheelchair:,U+1F251,
:accept:,U+1F6AE,
:put_litter_in_its_place:,U+24C2,
:m:,U+1F6C3,
:customs:,U+1F198,
:sos:,U+1F51E,
:underage:,U+1F6B1,
:non-potable_water:,U+1F6B8,
:children_crossing:,U+2734,
:eight_pointed_black_star:,U+1F4F3,
:vibration_mode:,U+1F4B1,
:currency_exchange:,U+264A,
:gemini:,U+264D,
:virgo:,U+2650,
:sagittarius:,U+2653,
:pisces:,U+274E,
:negative_squared_cross_mark:,U+1F18E,
:ab:,U+267B,
:recycle:,U+1F51C,
:soon:,U+1F559,
:clock10:,U+1F566,
:clock1130:,U+1F551,
